t,,T_0_0,T_0_1,T_0_2,T_0_3,T_0_4,,T_1_0,T_1_1,T_1_2,T_1_3,T_1_4,,T_2_0,T_2_1,T_2_2,T_2_3,T_2_4
0,,20,20,20,20,20,,20,20,20,20,20,,20,20,20,20,20,
36000,,19.6872,19.8989,19.9654,19.8756,19.6808,,19.6937,19.9054,19.972,19.8821,19.6874,,19.7344,19.946,20.0126,19.9227,19.728,
72000,,19.0908,19.5458,19.7311,19.4551,19.1473,,19.1181,19.5731,19.7584,19.4824,19.1745,,19.2066,19.6616,19.8469,19.5709,19.2631,
108000,,18.4037,19.0141,19.2928,18.9296,18.5533,,18.4479,19.0583,19.337,18.9737,18.5975,,18.5585,19.1689,19.4476,19.0843,18.7081,
144000,,17.9099,18.487,18.7632,18.3086,17.8664,,17.9643,18.5415,18.8176,18.363,17.9209,,18.0859,18.663,18.9391,18.4845,18.0424,
180000,,17.5088,18.0204,18.2588,17.5956,17.0832,,17.5689,18.0805,18.3189,17.6557,17.1433,,17.6961,18.2076,18.4461,17.7828,17.2704,
216000,,17.1662,17.6048,17.7951,16.8547,16.3542,,17.2294,17.668,17.8583,16.9179,16.4174,,17.3595,17.7981,17.9884,17.0479,16.5474,
252000,,16.8725,17.2367,17.3787,16.2138,15.7518,,16.9373,17.3015,17.4435,16.2786,15.8167,,17.0689,17.4331,17.5752,16.4102,15.9483,
288000,,16.6348,16.9195,17.0149,15.6792,15.2586,,16.7005,16.9852,17.0806,15.7449,15.3243,,16.833,17.1176,17.213,15.8773,15.4568,
324000,,16.4855,16.6735,16.7155,15.2468,14.8697,,16.5517,16.7396,16.7817,15.313,14.9359,,16.6845,16.8725,16.9145,15.4458,15.0687,
360000,,16.4156,16.5048,16.4922,14.9127,14.5802,,16.4754,16.5647,16.5521,14.9726,14.6401,,16.5679,16.6571,16.6446,15.065,14.7325,

